ADDRESS,ORGANISATION,AddressLine2,AddressLine3,AddressLine4,LOCALITY_NAME,TOWN_NAME,POSTCODE,UPRN,CLASSIFICATION,TERTIARY_CLASS_DESC,LPI_LOGICAL_STATUS,BLPU_LOGICAL_STATUS,BLPU_STATE_STRING,NON_POSTAL
"22H Fleming Gardens North, DUNDEE, DD3 7LP",,,,22H Fleming Gardens North,,DUNDEE,DD3 7LP,9059046307,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"22G Fleming Gardens North, DUNDEE, DD3 7LP",,,,22G Fleming Gardens North,,DUNDEE,DD3 7LP,9059046304,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"22C Fleming Gardens North, DUNDEE, DD3 7LP",,,,22C Fleming Gardens North,,DUNDEE,DD3 7LP,9059046291,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"22D Fleming Gardens North, DUNDEE, DD3 7LP",,,,22D Fleming Gardens North,,DUNDEE,DD3 7LP,9059046292,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"22E Fleming Gardens North, DUNDEE, DD3 7LP",,,,22E Fleming Gardens North,,DUNDEE,DD3 7LP,9059046293,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"24B Fleming Gardens North, DUNDEE, DD3 7LP",,,,24B Fleming Gardens North,,DUNDEE,DD3 7LP,9059046296,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"24C Fleming Gardens North, DUNDEE, DD3 7LP",,,,24C Fleming Gardens North,,DUNDEE,DD3 7LP,9059046297,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"26A Fleming Gardens North, DUNDEE, DD3 7LP",,,,26A Fleming Gardens North,,DUNDEE,DD3 7LP,9059025394,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"26D Fleming Gardens North, DUNDEE, DD3 7LP",,,,26D Fleming Gardens North,,DUNDEE,DD3 7LP,9059046281,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"26B Fleming Gardens North, DUNDEE, DD3 7LP",,,,26B Fleming Gardens North,,DUNDEE,DD3 7LP,9059046289,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"26C Fleming Gardens North, DUNDEE, DD3 7LP",,,,26C Fleming Gardens North,,DUNDEE,DD3 7LP,9059046290,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"28A Fleming Gardens North, DUNDEE, DD3 7LP",,,,28A Fleming Gardens North,,DUNDEE,DD3 7LP,9059066704,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"28B Fleming Gardens North, DUNDEE, DD3 7LP",,,,28B Fleming Gardens North,,DUNDEE,DD3 7LP,9059046277,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"28C Fleming Gardens North, DUNDEE, DD3 7LP",,,,28C Fleming Gardens North,,DUNDEE,DD3 7LP,9059046287,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"76G Clepington Road, DUNDEE, DD3 7SW",,,,76G Clepington Road,,DUNDEE,DD3 7SW,9059085581,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"G/1, 157 Clepington Road, DUNDEE, DD3 7SN",, G/1,,157 Clepington Road,,DUNDEE,DD3 7SN,9059085306,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"G/2, 157 Clepington Road, DUNDEE, DD3 7SN",, G/2,,157 Clepington Road,,DUNDEE,DD3 7SN,9059085516,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"3/1, 157 Clepington Road, DUNDEE, DD3 7SN",, 3/1,,157 Clepington Road,,DUNDEE,DD3 7SN,9059085521,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"76E Clepington Road, DUNDEE, DD3 7SW",,,,76E Clepington Road,,DUNDEE,DD3 7SW,9059085579,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"76F Clepington Road, DUNDEE, DD3 7SW",,,,76F Clepington Road,,DUNDEE,DD3 7SW,9059085580,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"76H Clepington Road, DUNDEE, DD3 7SW",,,,76H Clepington Road,,DUNDEE,DD3 7SW,9059085582,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"76B Clepington Road, DUNDEE, DD3 7SW",,,,76B Clepington Road,,DUNDEE,DD3 7SW,9059085583,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
"76C Clepington Road, DUNDEE, DD3 7SW",,,,76C Clepington Road,,DUNDEE,DD3 7SW,9059085584,R,Residential - Dwellings - Self contained flat (includes maisonettes and apartments),Approved preferred,Approved,Constructed,Postal
